ID,Location,Distance (km)
s1,1-Bangkok Bar,0
s2,2-Phra Chunlachomklao Fort,11
s3,3-Bangkok Port,33
s4,4-Royal Thai Navy HQ,59
s5,Wat Choeng Len,81
s6,Tai Kred,82
s7,Rama IV Bridge,83
s8,Rangsit Bridge (Nonthaburi),90
s9,Pathum Thani Bridge,100
s10,Wat Kai Tia Pier,103
s11,Sam Khok Pier,107
s12,Wat Chang Yai,120
s13,Bang Pa-In (District),133
s14,Wat Thong Bo,143
s15,Wat Prot Sat,145
s16,Wat Song Kusol Pier,148
s17,Sam Yaek Wat Phanan Choeng,150
s18,Pridi Bridge,151
s19,Chao Phrom Market,154
s20,Wat Pa Kho,155
s21,Wat Mai Sommarin,157
s22,Bo Phrong Bridge Pier,158
s23,Wat Bandai Pier,167
s24,Wat Sam Makan,173
